step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
46,66.8,73.1,62.1,69.0,67.3,62.6,71.4,70.1,0.014,-0.002,9.785,1.923,-187.66,88.295,1.224,0.0,4.421,1.042,rough,0.0,0.1,66.8,71.4,0.0526,-0.0012,-0.917,ok,avanzando en rough
47,66.2,74.9,78.6,64.8,64.0,75.1,65.1,67.3,0.995,-0.002,9.828,-8.41,-24.977,75.081,0.983,0.0502,4.471,1.093,rough,0.0,5.8,66.2,65.1,0.0532,-0.0019,-0.869,ok,avanzando en rough
48,65.2,69.5,68.2,72.6,64.4,65.3,68.7,66.4,0.012,-0.0,9.802,-7.143,14.495,59.94,0.983,0.0502,4.522,1.143,rough,0,0.1,65.2,68.7,0.0539,-0.0027,-0.83,ok,avanzando en rough
49,69.6,67.3,70.6,62.2,60.9,64.5,67.6,72.0,0.01,-0.001,9.816,-3.663,56.876,47.444,0.014,0.0502,4.572,1.193,carpet,0.0,0.1,69.6,67.3,0.0546,-0.0034,-0.8,ok,avanzando en carpet
50,61.5,72.1,65.4,61.6,63.6,71.8,69.9,64.5,1.189,-0.001,9.749,-5.114,-4682.951,40.185,1.18,0.1005,4.672,1.294,rough,0,7.0,61.5,69.9,0.056,-0.0048,-0.774,ok,avanzando en rough
51,69.4,63.0,61.4,67.1,74.2,69.1,65.4,63.8,-0.875,-0.001,9.821,1.481,2338.218,31.163,2.065,0.0502,4.723,1.344,rough,0.0,5.1,63.8,63.0,0.0568,-0.0055,-0.754,ok,avanzando en rough
52,66.5,63.9,67.0,69.1,67.6,63.0,73.3,67.1,0.003,-0.001,9.834,1.58,2538.814,24.64,0.879,0.0502,4.773,1.394,rough,0,0.0,66.5,63.9,0.0575,-0.0062,-0.739,ok,avanzando en rough
53,70.9,63.7,72.7,64.7,74.3,66.5,67.5,68.9,-0.104,-0.001,9.809,2.085,2589.633,19.54,0.11,0.0502,4.823,1.444,metal,0.0,0.6,68.9,63.7,0.0583,-0.0068,-0.726,ok,avanzando en metal
54,64.0,71.6,65.4,71.1,69.9,63.6,66.8,61.0,1.449,-0.001,9.74,0.392,-4195.695,16.764,1.555,0.1193,4.942,1.564,rough,0.01,8.5,61.0,66.8,0.0601,-0.0084,-0.715,ok,avanzando en rough
55,66.9,70.3,66.6,65.3,63.4,60.7,73.3,62.2,-1.409,-0.001,9.79,3.249,2608.299,12.1,2.859,0.0502,4.993,1.614,rough,0,8.2,62.2,70.3,0.0608,-0.0091,-0.708,ok,avanzando en rough
56,66.9,65.0,70.5,63.2,66.4,65.8,64.0,70.5,-0.034,-0.001,9.828,3.581,-105.502,8.975,1.376,0.0502,5.043,1.664,rough,0.0,0.2,66.9,64.0,0.0616,-0.0097,-0.702,ok,explorando (rough)
