step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
60,70.0,67.7,74.5,64.1,69.5,66.9,67.4,61.3,0.018,0.005,9.766,-4.548,14.243,90.806,0.057,0.0031,6.035,4.71,sand,0.0,0.1,61.3,67.4,ok,explorando (carpet)
61,69.5,65.9,69.9,64.1,66.5,67.3,66.8,64.9,0.01,0.001,9.818,-3.68,31.385,72.467,0.053,0.0,6.035,4.71,sand,0.0,0.1,64.9,65.9,ok,explorando (carpet)
62,68.9,66.4,68.5,70.2,65.1,65.7,70.6,63.6,0.009,0.0,9.853,-2.957,45.742,57.669,0.035,0.0,6.035,4.71,sand,0.0,0.0,63.6,66.4,ok,explorando (carpet)
63,72.8,72.3,70.7,62.2,73.2,66.4,73.6,64.8,0.006,0.0,9.869,-2.376,56.614,46.048,0.016,0.0,6.035,4.71,sand,0.0,0.0,64.8,72.3,ok,explorando (carpet)
64,66.9,70.3,65.9,70.6,71.1,67.1,63.7,68.3,0.003,0.0,9.799,-1.902,64.953,36.759,0.07,0.0,6.035,4.71,sand,0.0,0.0,66.9,63.7,ok,avanzando en sand a 35% slip=0.0
65,60.5,67.5,66.1,67.4,73.9,69.9,63.7,62.2,1.654,-0.0,9.763,-5.746,-6640.267,28.889,1.65,0.0691,6.104,4.779,rough,0.018,9.6,60.5,63.7,ok,avanzando en sand a 35% slip=0.0
66,67.1,64.8,71.2,66.1,70.0,61.8,70.0,62.1,0.143,0.0,9.815,-4.022,3267.773,22.564,1.511,0.0691,6.173,4.848,rough,0.018,0.8,62.1,64.8,ok,avanzando en sand a 35% slip=0.0
67,60.7,68.1,68.5,60.2,69.7,67.2,68.8,72.6,-0.004,-0.0,9.791,-4.589,3492.538,18.81,0.149,0.0691,6.242,4.917,metal,0.018,0.0,60.7,68.1,ok,avanzando en sand a 35% slip=0.0
68,68.1,61.4,66.3,69.7,62.3,67.5,67.5,66.8,-0.151,-0.0,9.877,-2.778,3511.265,15.653,0.17,0.0754,6.318,4.993,metal,0,0.9,66.8,61.4,ok,avanzando en sand a 35% slip=0.0
69,69.4,68.3,66.3,64.1,66.1,65.7,67.2,59.7,-0.078,-0.0,9.779,-0.178,-1733.917,12.371,0.122,0.0691,6.387,5.062,metal,0.018,0.5,59.7,67.2,ok,avanzando en metal a 60% slip=0.018
70,66.3,64.8,74.9,58.7,63.5,68.4,65.0,72.0,1.182,-0.0,9.776,-0.797,-6638.829,10.226,1.26,0.1193,6.506,5.181,rough,0.01,6.9,66.3,64.8,ok,avanzando en metal a 60% slip=0.018
71,73.0,71.3,65.8,60.0,67.5,69.8,66.8,71.2,0.062,-0.0,9.855,-0.307,3278.05,8.793,1.123,0.1193,6.625,5.3,rough,0.01,0.4,71.2,66.8,ok,avanzando en metal a 60% slip=0.018
72,68.0,76.5,61.3,63.5,66.3,67.3,69.7,67.9,-0.08,-0.0,9.807,0.183,3401.292,7.138,0.149,0.1193,6.745,5.42,metal,0.01,0.5,67.9,69.7,ok,avanzando en metal a 60% slip=0.018
73,66.8,73.1,62.1,69.0,67.3,62.6,71.4,70.1,-0.01,-0.0,9.783,0.751,-1670.087,5.334,0.074,0.1225,6.87,5.539,carpet,0,0.1,66.8,71.4,ok,avanzando en metal a 60% slip=0.018
74,66.2,74.9,78.6,64.8,64.0,75.1,65.1,67.3,0.06,-0.0,9.829,1.334,-1669.856,4.06,0.084,0.1225,6.99,5.665,carpet,0,0.3,66.2,65.1,ok,avanzando en carpet a 50% slip=0
75,65.2,69.5,68.2,72.6,64.4,65.3,68.7,66.4,-0.346,-0.0,9.805,1.476,338.243,2.799,0.407,0.1005,7.09,5.765,metal,0,2.0,65.2,68.7,ok,avanzando en carpet a 50% slip=0
76,69.6,67.3,70.6,62.2,60.9,64.5,67.6,72.0,0.029,-0.0,9.816,1.376,414.889,1.857,0.375,0.1005,7.191,5.866,metal,0,0.2,69.6,67.3,ok,avanzando en carpet a 50% slip=0
77,61.5,72.1,65.4,61.6,63.6,71.8,69.9,64.5,0.009,-0.0,9.766,1.254,465.805,1.149,0.053,0.1005,7.291,5.966,carpet,0,0.1,61.5,69.9,ok,avanzando en carpet a 50% slip=0
78,69.4,63.0,61.4,67.1,74.2,69.1,65.4,63.8,-0.011,-0.0,9.819,1.096,485.378,0.67,0.056,0.1005,7.392,6.066,carpet,0,0.1,63.8,63.0,ok,avanzando en carpet a 50% slip=0
79,66.5,63.9,67.0,69.1,67.6,63.0,73.3,67.1,-0.031,-0.0,9.833,0.944,475.936,0.339,0.024,0.1005,7.492,6.167,carpet,0.0,0.2,66.5,63.9,ok,avanzando en carpet a 50% slip=0.0
80,70.9,63.7,72.7,64.7,74.3,66.5,67.5,68.9,-0.027,0.0,9.807,0.768,-79.589,0.11,0.026,0.1005,7.593,6.267,carpet,0,0.2,68.9,63.7,ok,avanzando en carpet a 50% slip=0.0
81,64.0,71.6,65.4,71.1,69.9,63.6,66.8,61.0,-0.023,-0.0,9.751,0.655,-115.358,-0.004,0.056,0.1005,7.693,6.368,carpet,0.0,0.1,61.0,66.8,ok,avanzando en carpet a 50% slip=0.0
82,66.9,70.3,66.6,65.3,63.4,60.7,73.3,62.2,-0.017,-0.0,9.795,0.534,-144.665,-0.061,0.045,0.1005,7.793,6.468,carpet,0,0.1,62.2,70.3,ok,avanzando en carpet a 50% slip=0.0
83,66.9,65.0,70.5,63.2,66.4,65.8,64.0,70.5,-0.01,-0.0,9.828,0.421,-166.838,-0.073,0.034,0.0973,7.894,6.563,carpet,0.031,0.1,66.9,64.0,ok,avanzando en carpet a 50% slip=0.0
84,74.2,64.3,63.9,66.6,67.2,65.7,67.1,66.2,-0.002,-0.0,9.837,0.33,-180.04,-0.055,0.012,0.1005,7.994,6.663,carpet,0,0.0,66.2,64.3,ok,explorando (carpet)
85,62.0,70.4,70.1,65.7,71.9,69.4,66.8,67.7,0.013,0.004,9.821,-5.104,67.331,81.954,0.023,0.0,8.654,6.004,sand,0.0,0.1,62.0,66.8,ok,explorando (carpet)
86,68.2,68.1,64.5,72.7,68.3,69.8,70.4,61.9,0.009,0.001,9.787,-4.151,82.896,66.852,0.034,0.0,8.654,6.004,sand,0.0,0.1,61.9,68.1,ok,explorando (carpet)
87,68.8,65.9,60.0,69.1,65.4,70.1,69.4,65.5,0.005,0.001,9.783,-3.331,93.491,53.614,0.005,0.0,8.654,6.004,sand,0.0,0.0,65.5,65.9,ok,explorando (carpet)
88,72.7,70.8,69.0,65.9,71.1,64.2,67.9,62.5,0.001,0.001,9.809,-2.658,99.172,43.334,0.026,0.0,8.654,6.004,sand,0.0,0.0,62.5,67.9,ok,explorando (carpet)
89,67.9,66.0,66.6,67.7,66.7,66.7,73.7,71.8,-0.004,0.0,9.848,-2.117,99.63,34.744,0.04,0.0,8.654,6.004,sand,0.0,0.0,67.9,66.0,ok,avanzando en sand a 35% slip=0.0
90,69.5,67.4,68.9,69.3,66.8,71.7,71.5,68.4,1.646,0.0,9.763,-5.933,-6580.13,28.643,1.652,0.0691,8.723,6.073,rough,0.018,9.6,68.4,67.4,ok,avanzando en sand a 35% slip=0.0
91,59.9,58.4,63.3,69.0,71.4,73.8,64.6,68.9,0.137,0.0,9.769,-4.107,3273.531,24.26,1.509,0.0691,8.792,6.142,rough,0.018,0.8,59.9,58.4,ok,avanzando en sand a 35% slip=0.0
92,68.3,64.2,67.6,69.7,64.9,66.9,67.3,69.6,-0.011,-0.0,9.809,-4.7,3461.768,19.551,0.152,0.0754,8.867,6.217,metal,0,0.1,68.3,64.2,ok,avanzando en sand a 35% slip=0.0
93,74.5,72.5,66.3,63.6,65.4,67.7,62.4,63.7,-0.155,-0.0,9.83,-2.824,3462.335,15.729,0.146,0.0691,8.936,6.286,metal,0.018,0.9,63.7,62.4,ok,avanzando en sand a 35% slip=0.0
